title,citation,description,url
[PDF][PDF] Machine learning algorithms-a review,"B Mahesh - International Journal of Science and Research (IJSR) …, 2020 - researchgate.net","… Here‟sa quick look at some of the commonly used algorithms in machine learning (ML) 
Supervised Learning Supervised learning is the machine learning task of learning a function …",https://www.researchgate.net/profile/Batta-Mahesh/publication/344717762_Machine_Learning_Algorithms_-A_Review/links/5f8b2365299bf1b53e2d243a/Machine-Learning-Algorithms-A-Review.pdf?eid=5082902844932096t
[BOOK][B] Machine learning,E Alpaydin - 2021 - books.google.com,"MIT presents a concise primer on machine learning—computer programs that learn from 
data and the basis of applications like voice recognition and driverless cars. No in-depth …",https://books.google.com/books?hl=en&lr=&id=2nQJEAAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=fI-5O9-zot&sig=j02iIUKs45f0dihkuCNqqndLyFs
"Machine learning: Trends, perspectives, and prospects","MI Jordan, TM Mitchell - Science, 2015 - science.org","… Machine learning addresses the question of how to build computers that improve … Recent 
progress in machine learning has been driven both by the development of new learning …",https://www.science.org/doi/abs/10.1126/science.aaa8415
[BOOK][B] What is machine learning?,"I El Naqa, MJ Murphy - 2015 - Springer","… A machine learning algorithm is a computational process that … This training is the “learning” 
part of machine learning. The … can practice “lifelong” learning as it processes new data and …",https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1
[BOOK][B] Machine learning,ZH Zhou - 2021 - books.google.com,"… machine learning. The second part includes Chapters 4–10, which presents some classic and 
popular machine learning … cover the core topics of machine learning in one semester, and …",https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=o_KkS7Ys3t&sig=hOAsToWph0dc3iA2Kxquk6-z0gM
Machine learning and the physical sciences,"G Carleo, I Cirac, K Cranmer, L Daudet, M Schuld… - Reviews of Modern …, 2019 - APS","… II, where the interaction with machine learning has a long history, drawing on methods in … 
in machine learning. We then turn the wheel in the other direction of using machine learning for …",https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.91.045002
What is machine learning? A primer for the epidemiologist,"Q Bi, KE Goodman, J Kaminsky… - American journal of …, 2019 - academic.oup.com","… We provide a brief introduction to 5 common machine learning … of machine learning 
techniques in the published literature. We recommend approaches to incorporate machine learning …",https://academic.oup.com/aje/article-abstract/188/12/2222/5567515
[PDF][PDF] Machine learning,"TG Dietterich - Annual review of computer science, 1990 - Citeseer","The study of machine learning methods has progressed greatly in the past few years. This 
progress has taken many directions. First, in the area of inductive learning, a new formal de …",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=417f55320080fea71d491a18318dad6572b2fa8c
[BOOK][B] Readings in machine learning,"JW Shavlik, TG Dietterich - 1990 - books.google.com","… in machine learning. We have taught from these readings in our own machine learning … 
Furthermore, we in machine learning believe that learning techniques provide important con…",https://books.google.com/books?hl=en&lr=&id=UgC33U2KMCsC&oi=fnd&pg=PA1&dq=machine+learning&ots=TihgekaEt9&sig=kvnf0gatPEPtaEPENSQn4BavSbQ
[BOOK][B] Encyclopedia of machine learning,"C Sammut, GI Webb - 2011 - books.google.com","… Machine Learning came to be identified as a research field in its … machine learning appeared. 
Although the field coalesced in the 1980s, research on what we now call machine learning …",https://books.google.com/books?hl=en&lr=&id=i8hQhp1a62UC&oi=fnd&pg=PA3&dq=machine+learning&ots=92kawxkAdP&sig=OEfzr5fQsDYylax-TZe8f2t8aX0
[BOOK][B] Foundations of machine learning,"M Mohri, A Rostamizadeh, A Talwalkar - 2018 - books.google.com","… It covers fundamental modern topics in machine learning … complex topics arising in machine 
learning and highlight several … of important topics in machine learning, we have chosen to …",https://books.google.com/books?hl=en&lr=&id=dWB9DwAAQBAJ&oi=fnd&pg=PR5&dq=machinelearning&ots=AzpSTVy_q6&sig=niX2J_kl68tf8cALaGUAku4Px2M
[BOOK][B] Elements of machine learning,P Langley - 1996 - books.google.com,"… the goals that motivate researchers to study machine learning. After this, we present a 
framework for machine learning that serves as an organization for the later sections in the chapter. …",https://books.google.com/books?hl=en&lr=&id=TNg5qVoqRtUC&oi=fnd&pg=PR9&dq=machinelearning&ots=Q5mpWxxWQs&sig=3VTfqbtRpm-Z_B2t7mdN7o_Leds
An overview of machine learning,"JG Carbonell, RS Michalski, TM Mitchell - Machine learning, 1983 - Elsevier","… This chapter discusses the objective and concept of machine learning. The study and … 
subject matter of machine learning. At present, the field of machine learning is organized around …",https://www.sciencedirect.com/science/article/pii/B9780080510545500054
[HTML][HTML] Machine learning and its applications to biology,"AL Tarca, VJ Carey, X Chen, R Romero… - PLoS computational …, 2007 - journals.plos.org","… of machine learning is long and complex. An early technique [1] for machine learning called 
… In the intervening years, the flexibility of machine learning techniques has grown along with …",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.0030116
Machine learning from theory to algorithms: an overview,"J Alzubi, A Nayyar, A Kumar - Journal of physics: conference …, 2018 - iopscience.iop.org","… of development of Machine Learning to the present day, various machine learning algorithms, 
applications and challenges. This paper presents an overview of machine learning, its …",https://iopscience.iop.org/article/10.1088/1742-6596/1142/1/012012/meta
[BOOK][B] The discipline of machine learning,TM Mitchell - 2006 - cs.cmu.edu,"Over the past 50 years the study of Machine Learning has grown from the efforts of a handful 
of computer engineers exploring whether computers could learn to play games, and a field …",https://www.cs.cmu.edu/afs/cs/usr/mitchell/ftp/pubs/MachineLearningTR.pdf
[BOOK][B] Machine learning,ZH Zhou - 2021 - books.google.com,"Machine Learning, a vital and core area of artificial intelligence (AI), is propelling the AI field 
ever further and making it one of the most compelling areas of computer science research. …",https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machinelearning&ots=o_KkS7Ys3v&sig=1lJHvF94prvWc7A7PzlV6VJV3Mc
